X,CXCL8,MMP7,CA4,ADH1C,GUCA2A,GUCA2B,CEMIP,ZG16,CLCA4,MS4A12,CLDN1
T,8.00,9.00,0.00,1.00,3.00,0.00,10.00,2.00,4.00,0.00,11.00
N,8.00,1.00,13.00,13.00,13.00,10.00,7.00,15.00,15.00,13.00,6.00
T,11.00,10.00,1.00,1.00,5.00,1.00,13.00,2.00,6.00,0.00,11.00
T,10.40,5.42,8.21,9.75,10.00,5.64,6.29,11.80,10.37,10.02,8.27
T,24.75,271.44,22.27,689.42,1.85,7.74,31.92,219.63,10.07,22.29,976.60
T,9.00,11.00,3.00,9.00,5.00,0.00,9.00,1.00,0.00,0.00,10.00
T,1865.88,1151.77,122.37,259.44,442.58,7.66,3318.08,134.30,7.56,9.79,2870.83
T,5.53,6.18,12.43,13.20,13.36,11.94,5.75,14.57,14.04,13.19,6.90
N,4.00,4.00,14.00,13.00,14.00,12.00,6.00,15.00,16.00,12.00,6.00
T,6.82,2.14,3.12,1.64,2.54,2.20,6.63,4.16,1.73,2.86,7.73
T,4189.78,1573.93,4168.88,12538.20,3821.80,231.20,331.38,42039.30,10099.20,3191.36,1694.45
N,5.00,3.00,14.00,13.00,13.00,11.00,7.00,15.00,14.00,14.00,7.00
T,7.98,165.21,7.24,62.65,19.19,3.47,420.67,12.73,3.39,4.39,178.28
T,7.69,5.38,8.99,10.24,9.83,5.75,5.57,11.96,7.68,10.59,5.57
T,10.00,11.00,5.00,2.00,5.00,1.00,11.00,2.00,5.00,3.00,12.00
T,10.17,6.59,6.51,7.76,7.53,4.57,9.13,9.83,4.86,5.59,7.16
T,12.00,9.00,1.00,4.00,2.00,0.00,9.00,5.00,4.00,0.00,10.00
T,304.08,951.26,13.02,7387.28,26.37,89.26,1392.14,121.08,21.50,29.09,2791.80
N,40.38,95.04,7108.79,14523.60,19710.50,7902.64,36.65,37315.30,36406.80,31502.80,362.66
N,9.17,1.95,10.61,10.60,11.36,8.95,1.84,12.12,9.48,11.68,4.86
T,5251.29,271.20,64.30,51.84,266.60,6.14,508.31,85.31,12.11,12.80,2948.73
T,9.00,7.00,11.00,10.00,11.00,7.00,11.00,10.00,14.00,12.00,10.00
N,9.00,2.00,13.00,13.00,13.00,10.00,5.00,15.00,13.00,13.00,6.00
T,1346.92,2152.32,151.29,789.18,140.04,11.39,1507.24,185.25,273.07,101.96,4121.01
T,5.04,6.73,12.62,12.96,13.28,11.00,5.79,14.53,13.97,12.66,6.52
T,112.85,551.86,41.18,648.29,69.29,7.76,888.91,778.45,7.83,7.65,2956.03
T,3360.28,3867.11,1122.66,544.78,394.18,41.94,1153.96,162.04,14.54,116.16,4429.62
T,12.00,13.00,4.00,7.00,10.00,3.00,12.00,4.00,2.00,0.00,10.00
N,8.66,11.74,5.89,9.34,7.61,4.86,11.50,11.15,5.02,4.26,10.09
N,6.73,2.80,10.72,10.66,11.89,10.86,1.97,11.83,11.56,12.04,4.94
N,13.17,10.71,6.36,10.51,7.40,6.26,10.32,6.32,3.46,4.64,12.09
T,2420.36,405.16,138.10,307.90,225.51,37.35,1609.77,17.50,74.61,410.94,2291.01
T,327.37,5858.48,2.41,131.25,13.07,2.39,2167.21,43.89,5.38,2.63,4495.93
T,4793.59,935.77,714.84,2586.19,1086.50,62.72,2208.71,19502.00,93.11,1630.98,2637.72
T,10.73,64.72,9.45,62.72,10.93,10.95,809.56,45.60,10.82,10.35,1093.11
T,9.11,4.08,1.20,3.18,2.91,0.87,7.04,2.69,2.30,2.21,7.91
T,10.00,12.00,2.00,9.00,5.00,2.00,12.00,6.00,4.00,6.00,11.00
T,210.24,23594.67,914.25,2255.94,6.68,7.58,170.33,6.99,7.36,6.96,1379.71
N,7.00,3.00,10.00,11.00,9.00,5.00,7.00,13.00,12.00,11.00,8.00
T,10.00,9.00,9.00,12.00,7.00,3.00,13.00,10.00,8.00,9.00,10.00
N,4.00,2.00,12.00,13.00,13.00,10.00,7.00,14.00,14.00,10.00,7.00
T,221.54,228.17,4.95,38.67,4.64,5.45,453.48,4.88,29.67,4.77,793.86
T,9.00,9.00,1.00,10.00,4.00,1.00,12.00,7.00,6.00,1.00,10.00
T,13034.20,3507.76,173.66,133.32,142.89,5.19,3165.20,18.35,3.57,127.78,3434.59
N,6.30,84.47,11377.50,18551.60,30488.50,6656.96,49.23,45405.90,38010.70,11762.20,224.08
N,9.28,2.80,9.03,11.26,10.09,8.05,2.82,12.13,8.20,10.41,5.25
T,12.26,8.18,5.95,4.66,6.19,2.67,7.52,8.96,6.69,7.32,8.36
N,11.00,2.00,14.00,14.00,13.00,11.00,6.00,14.00,11.00,13.00,7.00
N,7.00,2.00,13.00,13.00,13.00,10.00,6.00,14.00,14.00,12.00,6.00
N,75.63,36.96,19834.50,14593.50,39483.50,11434.30,31.87,28957.60,60635.90,31536.40,133.96
N,8.22,2.80,6.43,9.77,10.91,7.15,2.73,11.13,6.36,2.14,5.24
T,833.39,1695.58,102.55,11711.50,686.17,15.06,821.94,17.61,19.25,111.70,3463.46
T,11.00,12.00,9.00,10.00,10.00,7.00,12.00,11.00,9.00,7.00,11.00
N,11.70,12.78,5.88,5.84,5.84,5.22,9.98,6.08,5.61,4.12,11.23
N,7.09,6.65,12.40,12.66,13.04,11.74,5.35,14.44,14.26,13.22,6.52
T,11811.20,41203.30,126.50,728.03,146.06,5.10,4015.30,3383.60,113.64,206.41,3061.34
T,57.51,15.70,410.61,65.96,298.55,22.47,535.08,22.54,3.26,2.95,508.23
N,9.16,6.37,10.29,10.74,10.99,8.07,4.76,12.57,9.09,10.14,5.94
T,17.50,320.41,11.24,1788.32,68.49,6.22,81.71,15.89,3.44,3.17,1289.71
T,8.00,7.00,0.00,6.00,4.00,0.00,12.00,1.00,3.00,2.00,12.00
T,3169.77,4593.24,143.47,858.81,280.55,22.60,463.93,9.27,5.83,20.41,1814.88
T,2650.48,27187.90,123.93,1092.70,117.39,14.63,2670.90,663.23,607.23,26.60,5733.77
N,6.00,2.00,14.00,14.00,14.00,11.00,5.00,15.00,14.00,14.00,5.00
T,1259.58,594.16,101.37,59.19,96.82,4.83,3961.44,2602.51,11.77,8.46,3194.92
T,8.00,7.00,5.00,7.00,8.00,1.00,12.00,5.00,4.00,4.00,7.00
T,11.13,5.50,9.47,10.88,9.52,7.74,5.88,12.02,11.65,9.28,6.53
T,132.52,4822.18,5.06,5.87,5.59,6.15,1578.50,14.82,6.09,5.51,519.19
T,6.44,6.49,12.30,13.45,13.28,11.87,5.69,13.94,13.92,13.57,6.81
N,9.02,3.19,10.45,11.70,10.92,9.74,2.52,11.90,11.86,10.51,5.00
N,6.00,3.00,12.00,12.00,13.00,11.00,5.00,13.00,15.00,11.00,6.00
N,9.51,7.53,9.44,11.25,10.48,8.82,10.28,13.48,12.42,11.19,11.53
T,68.56,45870.47,7.52,137.38,27.59,5.13,1339.42,193.30,12.00,19.00,1193.71
N,15.20,8.99,4438.24,7575.74,2787.75,2020.43,32.50,69435.58,1585.97,708.63,25.87
N,9.86,2.43,8.63,10.85,9.74,8.29,3.81,11.42,8.99,10.12,4.80
T,2057.40,822.51,399.10,1902.88,674.60,15.91,3144.51,6256.74,456.37,1354.66,915.96
T,1199.63,876.63,167.85,146.71,41.44,5.23,390.22,7.56,12.40,66.60,7131.53
T,10.35,7.87,5.25,5.70,4.86,2.70,7.55,7.21,7.66,6.22,8.86
N,9.64,3.67,10.01,10.03,10.07,9.22,3.49,11.15,11.56,10.08,4.89
T,3314.17,9468.82,108.93,124.49,71.93,11.15,2416.75,16.45,544.83,453.63,4455.67
T,10.00,13.00,9.00,11.00,10.00,7.00,11.00,13.00,11.00,10.00,11.00
N,13.69,12.76,6.35,6.02,5.96,5.64,11.13,5.79,4.43,3.55,10.71
N,11.57,3.75,7.77,9.97,7.11,4.77,4.78,11.61,9.74,5.70,5.81
T,1373.60,815.90,27.64,11244.60,964.74,23.38,1081.95,212.69,6603.47,370.62,1920.57
N,6.00,1.00,12.00,13.00,13.00,11.00,4.00,16.00,12.00,12.00,6.00
T,8.51,4.75,3.12,3.75,3.83,1.60,7.18,2.02,1.06,6.64,7.41
N,10.38,2.04,8.68,9.50,9.63,7.15,4.62,11.54,10.12,8.75,4.71
T,9.98,4.71,5.24,8.10,3.37,2.87,6.09,10.77,3.97,5.57,7.31
T,9.00,8.00,6.00,8.00,8.00,3.00,13.00,7.00,9.00,8.00,10.00
T,752.47,156.13,2092.17,1906.61,1730.52,232.30,1562.11,10778.20,7029.98,2953.94,1104.97
T,5631.90,183.29,2857.30,452.98,997.51,33.60,6800.82,4119.26,3989.34,1082.48,4991.36
T,1533.37,3296.16,2827.01,3904.34,2732.19,9.19,704.07,3006.90,1566.14,3645.42,4122.31
T,11.00,12.00,3.00,6.00,7.00,3.00,12.00,4.00,4.00,2.00,11.00
T,1170.12,541.63,4.10,1300.94,4.61,23.51,719.77,58.45,5.12,4.81,3095.74
T,8.00,12.00,1.00,11.00,3.00,1.00,11.00,6.00,5.00,2.00,10.00
T,377.63,17132.58,27.63,999.31,41.61,3.08,552.45,26.76,2.97,2.79,2134.22
T,8.00,11.00,0.00,3.00,4.00,0.00,12.00,2.00,3.00,2.00,11.00
T,13.00,14.00,5.00,8.00,6.00,2.00,9.00,10.00,6.00,6.00,12.00
T,9.00,9.00,7.00,8.00,8.00,3.00,11.00,7.00,5.00,4.00,11.00
T,10.00,11.00,11.00,10.00,9.00,6.00,11.00,10.00,12.00,10.00,12.00
T,9.00,10.00,8.00,6.00,6.00,3.00,12.00,7.00,5.00,7.00,11.00
N,4.00,1.00,10.00,11.00,10.00,8.00,5.00,11.00,12.00,10.00,5.00
N,7.00,2.00,14.00,12.00,15.00,13.00,5.00,16.00,17.00,15.00,5.00
T,94.94,7986.60,8.51,5281.85,39.95,6.54,699.29,22.50,6.38,6.39,2823.75
T,2215.18,641.63,248.04,423.33,182.15,6.70,1103.61,101.39,5.84,13.41,1511.38
N,7.00,0.00,8.00,12.00,15.00,13.00,5.00,12.00,8.00,2.00,4.00
N,8.01,3.52,11.07,9.86,9.92,8.13,3.33,11.09,11.41,10.71,5.51
T,199.79,7785.26,4.12,564.37,6.05,2.73,841.98,19.10,4.80,2.52,1499.28
T,14.00,10.00,11.00,8.00,9.00,6.00,10.00,13.00,10.00,8.00,12.00
N,9.00,2.00,15.00,13.00,15.00,13.00,5.00,15.00,16.00,13.00,4.00
T,12.44,8.84,5.15,8.98,7.52,3.95,8.84,9.59,9.32,8.01,8.51
T,9.00,7.00,4.00,8.00,6.00,0.00,13.00,7.00,4.00,6.00,12.00
T,9.00,10.00,7.00,7.00,6.00,3.00,13.00,7.00,9.00,7.00,10.00
T,3666.02,3115.14,72.70,101.62,42.31,8.94,3291.31,13.62,25.86,23.72,3591.50
T,9.00,12.00,0.00,9.00,3.00,0.00,11.00,0.00,2.00,1.00,12.00
T,9.00,11.00,0.00,4.00,5.00,1.00,13.00,5.00,6.00,5.00,11.00
N,6.00,1.00,13.00,13.00,14.00,11.00,5.00,14.00,15.00,11.00,5.00
N,9.99,3.14,9.05,10.89,9.94,6.56,1.64,12.02,8.96,11.11,5.33
N,8.00,1.00,13.00,14.00,14.00,13.00,6.00,15.00,13.00,11.00,6.00
T,3787.36,5028.56,1204.79,211.87,362.54,9.03,2201.51,278.83,17.24,144.11,4354.32
N,6.46,3.31,11.44,11.23,11.21,9.70,1.63,11.15,12.32,11.77,4.84
N,9.28,2.80,9.03,11.26,10.09,8.05,2.82,12.13,8.20,10.41,5.25
T,11.39,8.35,8.26,8.09,9.47,7.31,7.71,9.66,9.84,7.56,8.52
N,4.41,3.26,10.83,11.01,11.37,10.05,2.09,11.65,10.24,10.02,5.10
T,244.35,4309.37,26.23,155.48,20.66,5.85,4182.54,1029.88,70.65,7.42,6144.81
T,9.00,10.00,7.00,5.00,7.00,1.00,14.00,5.00,0.00,6.00,12.00
T,9.56,5.80,6.13,6.80,6.18,2.52,8.20,5.93,4.88,7.63,8.16
T,14.00,11.00,2.00,5.00,1.00,0.00,10.00,3.00,5.00,2.00,12.00
N,54.28,159.04,6326.05,16439.80,24044.80,6534.66,147.58,25873.80,50611.60,23089.30,237.37
N,7.87,10.13,6.69,9.54,6.95,6.19,10.83,9.97,5.20,4.06,9.99
T,14.00,8.00,2.00,8.00,6.00,0.00,13.00,9.00,3.00,1.00,10.00
T,13.00,14.00,7.00,9.00,9.00,3.00,12.00,7.00,8.00,6.00,11.00
T,11.06,9.29,8.88,8.22,7.34,3.44,7.89,10.00,8.37,9.21,7.79
T,10.00,12.00,3.00,6.00,6.00,1.00,9.00,2.00,1.00,3.00,11.00
N,9.68,10.03,7.31,11.86,8.55,5.95,9.91,11.53,7.31,8.83,12.25
T,12.00,11.00,1.00,4.00,4.00,1.00,11.00,0.00,9.00,1.00,11.00
T,145.90,274.21,138.90,469.00,357.49,5.94,456.02,58.66,4.83,4.46,821.64
N,11.00,1.00,14.00,14.00,13.00,11.00,6.00,15.00,15.00,13.00,6.00
